station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI
"Khrew, Pampore - JKPCC",2026-04-21 17:00:00,-0.19093280136083451,-0.1304728440244092,-0.4473660452321624,-0.22664551226873497,-0.47887606968489294,0.07778240631342966,-1.0116844817471948,79.0
"Khunmoh, Srinagar - JKPCC",2026-04-21 17:00:00,-0.19093280136083451,-0.1304728440244092,-0.29153905622699255,-0.22664551226873497,-0.21702466003451443,-0.7365553600110198,-1.0116844817471948,92.0
"Knowledge Park - III, Greater Noida - UPPCB",2026-04-21 17:00:00,-0.4727728265244398,0.7012915366311993,1.5783848118350452,1.6715185117028726,1.4749382946294696,-0.13777759065480696,0.10757597917474515,176.0
"Knowledge Park - V, Greater Noida - UPPCB",2026-04-21 17:00:00,-0.24730080639355556,0.7012915366311993,1.4745001524982653,3.1336178274647866,3.066189168658693,0.796315729540885,0.907047736976131,255.0
"Kodungaiyur, Chennai - TNPCB",2026-04-21 17:00:00,-0.13456479632811347,-0.40772763757627867,-0.6551353639057221,-0.5601067597232066,-0.6400153987005105,-1.0479198000762504,-0.8517901301869177,71.0
"Kokapet, Hyderabad - TSPCB",2026-04-21 17:00:00,0.09090722380277075,-0.9622372246800176,-0.6031930342373322,-0.4575032989679846,-0.2975943245423232,-0.281484255300298,-0.052318372385532,88.0
"Kompally Municipal Office, Hyderabad - TSPCB",2026-04-21 17:00:00,-0.641876841622603,-0.6849824311281482,-0.6031930342373322,-0.7909645464224562,-0.47887606968489294,-0.6167998061397773,-0.611948602846502,79.0
"Kopripada-Vashi, Navi Mumbai - MPCB",2026-04-21 17:00:00,1.0491633093590287,0.42403674307932976,-0.4473660452321624,-0.5857576249120121,-0.0357429148919447,0.700511286443891,-1.0916316575273335,103.0
"Koyana Nagar, Satara - MPCB",2026-04-21 17:00:00,-0.36003681645899765,0.42403674307932976,-0.23959672655860262,3.364475614164036,-0.8817243922239367,-0.6167998061397773,-1.1715788333074721,187.0
"Krishak Nagar, Raipur - CECB",2026-04-21 17:00:00,-1.0364528768516503,-0.1304728440244092,-0.23959672655860262,-0.6370593552896231,-0.21702466003451443,-0.3054353660745466,-0.29215989972594775,92.0
"Krishna Nagar, Bharatpur - RSPCB",2026-04-21 17:00:00,-0.5855088365898818,0.7012915366311993,-0.13571206722182275,2.5949496584998712,0.004541917361959685,-1.0479198000762504,-0.4520542512862249,154.0
"Kukrail Picnic Spot-1, Lucknow - UPPCB",2026-04-21 17:00:00,-0.8109808567207661,0.1467819495274603,0.2798265701252967,-0.5601067597232066,0.32682057539319476,-0.35333758762304357,0.507311858075438,119.0
"Kurla, Mumbai - MPCB",2026-04-21 17:00:00,-0.24730080639355556,-0.1304728440244092,-0.23959672655860262,-0.6114084901008177,-0.21702466003451443,-0.3054353660745466,-0.29215989972594775,92.0
"LGBI Airport, Guwahati - PCBA",2026-04-21 17:00:00,0.42911525399909706,-0.1304728440244092,-0.5512507045689422,-1.0987749286881223,-1.4457120437785982,-0.9042131354307594,-0.3721070755060863,39.0
"Lalbagh, Lucknow - CPCB",2026-04-21 17:00:00,1.500107349620797,2.6420750914942857,0.6953652074724163,0.10681573518573667,0.5081023205357644,2.2094312652215473,-0.6918957786266406,166.0
"Lingaraj Nagar, Hubballi - KSPCB",2026-04-21 17:00:00,-0.641876841622603,-1.2394920182318871,-0.9667893419160617,-0.6114084901008177,-0.9622940567317455,-0.8323598031080138,-1.1715788333074721,55.0
"Lingraj Mandir, Bhubaneswar - OSPCB",2026-04-21 17:00:00,0.2600112389009339,-0.1304728440244092,-0.8109623529108919,-0.07274032113590191,-1.0630061373665065,-0.8563109138822623,-1.0116844817471948,50.0
"Lodhi Road, Delhi - IMD",2026-04-21 17:00:00,-0.8673488617534871,-0.1304728440244092,-0.03182740788504288,1.5945659161364563,0.8102385624400473,0.31729351405591477,-0.29215989972594775,143.0
"Lohiyanagar, Begusarai - BSPCB",2026-04-21 17:00:00,-0.754612851688045,-0.40772763757627867,-0.7070776935741121,-0.22664551226873497,-0.015600498764992508,1.442995720445595,1.7864666705576553,134.0
"Loni, Ghaziabad - UPPCB",2026-04-21 17:00:00,-0.02182878626267136,-0.6849824311281482,0.5395382184672464,1.2098029383043736,3.3683254105629756,2.7363557022550147,1.066942088536408,333.0
"Lumpyngngad, Shillong - Meghalaya PCB",2026-04-21 17:00:00,-1.3182929020152556,-0.1304728440244092,-0.23959672655860262,0.2094191959409587,-0.21702466003451443,-1.21557757549599,-0.5320014270663634,92.0
"MD University, Rohtak - HSPCB",2026-04-21 17:00:00,0.20364323386821284,-0.1304728440244092,-0.759020023242502,-0.3548998382127625,0.32682057539319476,3.1914268069657363,-0.3721070755060863,241.0
"MIDC Ambad, Nashik - MPCB",2026-04-21 17:00:00,0.1472752288354918,-0.6849824311281482,-0.759020023242502,0.08116486999693116,-0.4587336535579407,-0.18567981220330398,0.6672062096357152,80.0
"MIDC Khutala, Chandrapur - MPCB",2026-04-21 17:00:00,0.372747248966376,-0.9622372246800176,-0.759020023242502,2.800156580010315,0.36710540764709915,-0.3054353660745466,-0.29215989972594775,162.0
"MIET College, Meerut - UPPCB",2026-04-21 17:00:00,0.5418512640645392,2.0875655043905468,0.48759588879885646,2.9797126363319535,1.9180714494224178,3.1914268069657363,1.2268364400966851,316.0
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-04-21 17:00:00,0.20364323386821284,-0.40772763757627867,-1.1226163309212316,0.029863139619320137,-0.8212971438430802,-0.0419731475578129,-0.4520542512862249,72.0
"MM Ground, Bikaner - RSPCB",2026-04-21 17:00:00,-0.36003681645899765,-0.1304728440244092,-0.23959672655860262,1.6202167813252617,-0.21702466003451443,-0.3054353660745466,-0.29215989972594775,116.0
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",2026-04-21 17:00:00,-1.4873969171134187,-1.2394920182318871,-0.8109623529108919,-1.2013783894433443,0.30667815926624253,0.8442179510893821,2.5059912525789025,118.0
"Maguda Nagar, Indore - IMC",2026-04-21 17:00:00,0.31637924393365496,-0.1304728440244092,-0.8629046825792819,-0.9448697375552892,-1.0428637212395542,-0.5449464738170317,0.507311858075438,51.0
"Mahabir Colliery, Asansol - WBPCB",2026-04-21 17:00:00,-1.1491888869170925,-1.2394920182318871,-0.8629046825792819,0.31202265669618073,-0.6400153987005105,-0.9521153569792564,-1.0116844817471948,71.0
"Mahal, Nagpur - MPCB",2026-04-21 17:00:00,0.372747248966376,2.0875655043905468,1.3706154931614853,-0.4831541641567901,0.024684333488911876,0.9639735049606246,3.3054630103802882,114.0
"Mahape, Navi Mumbai - MPCB",2026-04-21 17:00:00,-0.19093280136083451,-1.2394920182318871,1.6822694711718251,-1.0731240634993169,0.40739023990100354,0.22148907095892073,0.10757597917474515,123.0
"Maharaj Bada, Gwalior - MPPCB",2026-04-21 17:00:00,0.2600112389009339,-0.1304728440244092,0.48759588879885646,2.7232039844438987,0.04482674961586407,-0.8802620246565108,-0.29215989972594775,159.0
"Mahashweta Nagar, Ujjain - MPPCB",2026-04-21 17:00:00,-0.754612851688045,1.5330559172868077,0.9550768558143659,0.08116486999693116,-0.4990184858118451,-0.08987536910630993,-0.9317373059670563,78.0
"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",2026-04-21 17:00:00,0.5418512640645392,-0.6849824311281482,-0.5512507045689422,-0.22664551226873497,-1.0831485534934586,-0.8802620246565108,-1.0116844817471948,49.0
"Mahesh Nagar, Malegaon - MPCB",2026-04-21 17:00:00,-0.698244846655324,-0.1304728440244092,-0.4993083749005523,0.6711347693394579,0.12539641412367283,0.1735868494104237,-0.29215989972594775,109.0
"Mahishkapur Road_B-Zone, Durgapur - WBPCB",2026-04-21 17:00:00,0.5418512640645392,-0.40772763757627867,-0.759020023242502,0.7480873649058745,-0.6400153987005105,-0.5209953630427832,-0.4520542512862249,82.0
"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-04-21 17:00:00,0.7673232841954234,2.6420750914942857,2.2536350975241146,0.3633243870737918,0.8706658108209039,0.053831295539181145,0.3474175065151609,146.0
"Malad West, Mumbai - IITM",2026-04-21 17:00:00,0.5982192690972602,-0.40772763757627867,0.12399958112012693,-0.3548998382127625,-0.39830640517708416,-0.6407509169140257,-0.7718429544067792,83.0
"Maldahiya, Varanasi - UPPCB",2026-04-21 17:00:00,-0.641876841622603,-0.1304728440244092,-1.2265009902580115,-1.1500766590657334,0.024684333488911876,0.41309795715290887,1.5466251432172395,104.0
"Manali Village, Chennai - TNPCB",2026-04-21 17:00:00,0.8800592942608655,-0.9622372246800176,-1.0706740012528415,-0.5601067597232066,-1.4255696276516459,-1.3832353509157296,-0.21221272394580915,47.0
"Manali, Chennai - CPCB",2026-04-21 17:00:00,-1.1491888869170925,0.1467819495274603,-0.8629046825792819,-1.0474731983105112,-1.1637182180012675,-1.1916264647217416,-0.21221272394580915,45.0
"Mandir Marg, Delhi - DPCC",2026-04-21 17:00:00,1.1618993194244707,0.42403674307932976,1.4225578228298754,-0.17534378189112396,0.7900961463130951,1.9938712682533106,0.5872590338555767,157.0
"Mandor, Jodhpur - RSPCB",2026-04-21 17:00:00,-1.2055568919498134,-0.6849824311281482,-0.8629046825792819,1.2611046686819847,-0.0357429148919447,-0.9281642462050079,-0.8517901301869177,102.0
"Mangala, Bilaspur - NTPC",2026-04-21 17:00:00,-0.24730080639355556,-0.1304728440244092,0.072057251451737,-0.22664551226873497,-0.5191609019387973,0.22148907095892073,-0.21221272394580915,83.0
"Maninagar, Ahmedabad - GPCB",2026-04-21 17:00:00,-0.5291408315571609,-0.1304728440244092,3.0327700425499637,0.38897525226259727,-0.21702466003451443,0.31729351405591477,3.4653573619405655,92.0
"Manoharpur, Agra - UPPCB",2026-04-21 17:00:00,-0.641876841622603,1.8103107108386771,-0.3954237155637724,-1.22702925463215,1.0519475559634737,-0.5209953630427832,1.8664138463377937,155.0
"Mansarovar Sector-12, Jaipur - RSPCB",2026-04-21 17:00:00,-0.9237168667862082,-0.1304728440244092,-0.23959672655860262,1.0558977471715405,0.8908082269478561,-0.3054353660745466,-0.611948602846502,147.0
"Marhatal, Jabalpur - MPPCB",2026-04-21 17:00:00,1.8946833848498443,0.1467819495274603,0.7992498668091961,0.9019925560387075,0.10525399799672064,-0.6647020276882742,0.42736468229529945,108.0
